Node,Date,Time,GPU,Temperature,Utilization
node1,20230516,00,GPU0,78,86
node1,20230516,00,GPU1,73,70
node1,20230516,00,GPU2,76,78
node1,20230516,00,GPU3,83,79
node1,20230516,00,GPU4,53,11
node1,20230516,00,GPU5,81,97
node1,20230516,00,GPU6,85,98
node1,20230516,00,GPU7,87,81
node1,20230516,01,GPU0,79,85
node1,20230516,01,GPU1,74,71
node1,20230516,01,GPU2,77,78
node1,20230516,01,GPU3,84,81
node1,20230516,01,GPU4,82,98
node1,20230516,01,GPU5,82,98
node1,20230516,01,GPU6,85,98
node1,20230516,01,GPU7,87,98
node1,20230516,02,GPU0,78,85
node1,20230516,02,GPU1,73,71
node1,20230516,02,GPU2,75,75
node1,20230516,02,GPU3,82,79
node1,20230516,02,GPU4,80,69
node1,20230516,02,GPU5,80,96
node1,20230516,02,GPU6,83,98
node1,20230516,02,GPU7,85,98
node1,20230516,03,GPU0,77,87
node1,20230516,03,GPU1,73,73
node1,20230516,03,GPU2,75,77
node1,20230516,03,GPU3,83,78
node1,20230516,03,GPU4,80,98
node1,20230516,03,GPU5,80,86
node1,20230516,03,GPU6,83,98
node1,20230516,03,GPU7,85,97
node1,20230516,04,GPU0,77,83
node1,20230516,04,GPU1,75,81
node1,20230516,04,GPU2,76,78
node1,20230516,04,GPU3,83,80
node1,20230516,04,GPU4,79,98
node1,20230516,04,GPU5,81,98
node1,20230516,04,GPU6,84,97
node1,20230516,04,GPU7,85,98
node1,20230516,05,GPU0,78,88
node1,20230516,05,GPU1,76,77
node1,20230516,05,GPU2,75,77
node1,20230516,05,GPU3,83,78
node1,20230516,05,GPU4,81,73
node1,20230516,05,GPU5,81,98
node1,20230516,05,GPU6,84,97
node1,20230516,05,GPU7,86,98
node1,20230516,06,GPU0,77,85
node1,20230516,06,GPU1,75,77
node1,20230516,06,GPU2,75,75
node1,20230516,06,GPU3,83,83
node1,20230516,06,GPU4,81,73
node1,20230516,06,GPU5,80,98
node1,20230516,06,GPU6,83,97
node1,20230516,06,GPU7,85,97
node1,20230516,07,GPU0,78,85
node1,20230516,07,GPU1,76,77
node1,20230516,07,GPU2,76,76
node1,20230516,07,GPU3,83,79
node1,20230516,07,GPU4,81,72
node1,20230516,07,GPU5,81,98
node1,20230516,07,GPU6,84,97
node1,20230516,07,GPU7,86,98
node1,20230516,08,GPU0,76,86
node1,20230516,08,GPU1,73,73
node1,20230516,08,GPU2,74,78
node1,20230516,08,GPU3,82,79
node1,20230516,08,GPU4,80,98
node1,20230516,08,GPU5,80,98
node1,20230516,08,GPU6,83,98
node1,20230516,08,GPU7,85,97
node1,20230516,09,GPU0,77,88
node1,20230516,09,GPU1,73,68
node1,20230516,09,GPU2,33,0
node1,20230516,09,GPU3,82,77
node1,20230516,09,GPU4,80,71
node1,20230516,09,GPU5,80,98
node1,20230516,09,GPU6,83,97
node1,20230516,09,GPU7,85,97
node1,20230516,10,GPU0,78,88
node1,20230516,10,GPU1,75,77
node1,20230516,10,GPU2,77,83
node1,20230516,10,GPU3,83,78
node1,20230516,10,GPU4,81,94
node1,20230516,10,GPU5,81,98
node1,20230516,10,GPU6,84,97
node1,20230516,10,GPU7,86,97
node1,20230516,11,GPU0,78,85
node1,20230516,11,GPU1,76,75
node1,20230516,11,GPU2,78,78
node1,20230516,11,GPU3,83,78
node1,20230516,11,GPU4,78,93
node1,20230516,11,GPU5,81,98
node1,20230516,11,GPU6,84,98
node1,20230516,11,GPU7,86,97
node1,20230516,12,GPU0,77,88
node1,20230516,12,GPU1,76,77
node1,20230516,12,GPU2,77,78
node1,20230516,12,GPU3,83,78
node1,20230516,12,GPU4,80,73
node1,20230516,12,GPU5,34,0
node1,20230516,12,GPU6,83,97
node1,20230516,12,GPU7,86,97
node1,20230516,13,GPU0,78,85
node1,20230516,13,GPU1,76,77
node1,20230516,13,GPU2,78,78
node1,20230516,13,GPU3,84,78
node1,20230516,13,GPU4,81,98
node1,20230516,13,GPU5,36,0
node1,20230516,13,GPU6,83,97
node1,20230516,13,GPU7,87,98
node1,20230516,14,GPU0,79,85
node1,20230516,14,GPU1,76,72
node1,20230516,14,GPU2,78,78
node1,20230516,14,GPU3,84,72
node1,20230516,14,GPU4,81,73
node1,20230516,14,GPU5,81,98
node1,20230516,14,GPU6,84,97
node1,20230516,14,GPU7,86,97
node1,20230516,15,GPU0,78,85
node1,20230516,15,GPU1,76,75
node1,20230516,15,GPU2,78,77
node1,20230516,15,GPU3,84,77
node1,20230516,15,GPU4,80,98
node1,20230516,15,GPU5,81,98
node1,20230516,15,GPU6,84,97
node1,20230516,15,GPU7,86,97
node1,20230516,16,GPU0,77,85
node1,20230516,16,GPU1,75,79
node1,20230516,16,GPU2,77,80
node1,20230516,16,GPU3,83,79
node1,20230516,16,GPU4,80,98
node1,20230516,16,GPU5,80,98
node1,20230516,16,GPU6,83,97
node1,20230516,16,GPU7,85,97
node1,20230516,17,GPU0,77,85
node1,20230516,17,GPU1,75,77
node1,20230516,17,GPU2,77,81
node1,20230516,17,GPU3,84,82
node1,20230516,17,GPU4,81,98
node1,20230516,17,GPU5,81,98
node1,20230516,17,GPU6,84,98
node1,20230516,17,GPU7,86,97
node1,20230516,18,GPU0,79,85
node1,20230516,18,GPU1,77,76
node1,20230516,18,GPU2,78,78
node1,20230516,18,GPU3,84,78
node1,20230516,18,GPU4,82,98
node1,20230516,18,GPU5,81,98
node1,20230516,18,GPU6,84,79
node1,20230516,18,GPU7,86,97
node1,20230516,19,GPU0,80,84
node1,20230516,19,GPU1,79,76
node1,20230516,19,GPU2,80,82
node1,20230516,19,GPU3,85,78
node1,20230516,19,GPU4,85,97
node1,20230516,19,GPU5,83,98
node1,20230516,19,GPU6,86,97
node1,20230516,19,GPU7,87,97
node1,20230516,20,GPU0,80,85
node1,20230516,20,GPU1,80,79
node1,20230516,20,GPU2,80,81
node1,20230516,20,GPU3,85,77
node1,20230516,20,GPU4,84,97
node1,20230516,20,GPU5,83,98
node1,20230516,20,GPU6,85,97
node1,20230516,20,GPU7,87,97
node1,20230516,21,GPU0,78,86
node1,20230516,21,GPU1,73,82
node1,20230516,21,GPU2,78,78
node1,20230516,21,GPU3,84,82
node1,20230516,21,GPU4,83,82
node1,20230516,21,GPU5,81,98
node1,20230516,21,GPU6,84,97
node1,20230516,21,GPU7,84,97
node1,20230516,22,GPU0,79,85
node1,20230516,22,GPU1,78,80
node1,20230516,22,GPU2,79,77
node1,20230516,22,GPU3,83,88
node1,20230516,22,GPU4,83,97
node1,20230516,22,GPU5,82,98
node1,20230516,22,GPU6,85,97
node1,20230516,22,GPU7,86,97
node1,20230516,23,GPU0,77,82
node1,20230516,23,GPU1,56,0
node1,20230516,23,GPU2,77,77
node1,20230516,23,GPU3,83,79
node1,20230516,23,GPU4,82,97
node1,20230516,23,GPU5,34,0
node1,20230516,23,GPU6,82,98
node1,20230516,23,GPU7,85,98
node1,20230517,00,GPU0,75,80
node1,20230517,00,GPU1,77,87
node1,20230517,00,GPU2,77,78
node1,20230517,00,GPU3,73,46
node1,20230517,00,GPU4,82,97
node1,20230517,00,GPU5,34,0
node1,20230517,00,GPU6,81,98
node1,20230517,00,GPU7,38,0
node1,20230517,01,GPU0,78,82
node1,20230517,01,GPU1,70,82
node1,20230517,01,GPU2,78,77
node1,20230517,01,GPU3,85,79
node1,20230517,01,GPU4,83,97
node1,20230517,01,GPU5,34,0
node1,20230517,01,GPU6,83,86
node1,20230517,01,GPU7,38,0
node1,20230517,02,GPU0,78,81
node1,20230517,02,GPU1,79,79
node1,20230517,02,GPU2,80,77
node1,20230517,02,GPU3,84,79
node1,20230517,02,GPU4,82,97
node1,20230517,02,GPU5,34,0
node1,20230517,02,GPU6,84,98
node1,20230517,02,GPU7,39,0
